date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02 00:00:00+00:00,16.81,16.9,16.7507,16.84,13485117,16.81,16.9,16.7507,16.84,13485117,0.0,1.0
2020-01-03 00:00:00+00:00,16.84,16.95,16.8,16.92,13524513,16.84,16.95,16.8,16.92,13524513,0.0,1.0
2020-01-06 00:00:00+00:00,16.94,17.18,16.8201,17.17,18057259,16.94,17.18,16.8201,17.17,18057259,0.0,1.0
2020-01-07 00:00:00+00:00,17.17,17.21,16.93,16.98,15375816,17.17,17.21,16.93,16.98,15375816,0.0,1.0
2020-01-08 00:00:00+00:00,16.93,17.1885,16.86,17.16,29920132,16.93,17.1885,16.86,17.16,29920132,0.0,1.0
2020-01-09 00:00:00+00:00,16.72,16.76,16.62,16.72,14782607,16.72,16.76,16.62,16.72,14782607,0.0,1.0
2020-01-10 00:00:00+00:00,16.89,16.9566,16.78,16.8,9397840,16.89,16.9566,16.78,16.8,9397840,0.0,1.0
2020-01-13 00:00:00+00:00,16.78,16.85,16.73,16.84,10628191,16.78,16.85,16.73,16.84,10628191,0.0,1.0
2020-01-14 00:00:00+00:00,16.62,16.68,16.54,16.6,12168519,16.62,16.68,16.54,16.6,12168519,0.0,1.0
2020-01-15 00:00:00+00:00,16.81,16.85,16.705,16.73,10906449,16.81,16.85,16.705,16.73,10906449,0.0,1.0
2020-01-16 00:00:00+00:00,16.77,16.825,16.72,16.7738,8372809,16.77,16.825,16.72,16.7738,8372809,0.0,1.0
2020-01-17 00:00:00+00:00,16.82,16.89,16.74,16.83,12337587,16.82,16.89,16.74,16.83,12337587,0.0,1.0
2020-01-21 00:00:00+00:00,16.64,16.71,16.46,16.5,13638267,16.64,16.71,16.46,16.5,13638267,0.0,1.0
2020-01-22 00:00:00+00:00,16.66,16.75,16.62,16.71,7341376,16.66,16.75,16.62,16.71,7341376,0.0,1.0
2020-01-23 00:00:00+00:00,16.61,16.69,16.56,16.58,10790566,16.61,16.69,16.56,16.58,10790566,0.0,1.0
2020-01-24 00:00:00+00:00,16.91,16.95,16.675,16.69,16065125,16.91,16.95,16.675,16.69,16065125,0.0,1.0
2020-01-27 00:00:00+00:00,16.89,17.06,16.84,17.04,11870152,16.89,17.06,16.84,17.04,11870152,0.0,1.0
2020-01-28 00:00:00+00:00,16.32,16.605,16.28,16.58,27567707,16.32,16.605,16.28,16.58,27567707,0.0,1.0
2020-01-29 00:00:00+00:00,16.41,16.43,16.27,16.28,9587893,16.41,16.43,16.27,16.28,9587893,0.0,1.0
2020-01-30 00:00:00+00:00,16.68,16.85,16.59,16.73,22654591,16.68,16.85,16.59,16.73,22654591,0.0,1.0
2020-01-31 00:00:00+00:00,16.82,16.9,16.68,16.69,17211674,16.82,16.9,16.68,16.69,17211674,0.0,1.0
2020-02-03 00:00:00+00:00,16.5,16.6161,16.43,16.61,17710385,16.5,16.6161,16.43,16.61,17710385,0.0,1.0
2020-02-04 00:00:00+00:00,16.45,16.5399,16.3642,16.52,13503333,16.45,16.5399,16.3642,16.52,13503333,0.0,1.0
