date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02 00:00:00+00:00,137.01,137.53,136.67,136.79,11034459,118.0620799718,118.5101661085,117.7691005748,117.8725050678,11034459,0.0,1.0
2020-01-03 00:00:00+00:00,139.12,139.16,137.88,138.27,12366830,119.8802756418,119.9147438061,118.8117625466,119.1478271491,12366830,0.0,1.0
2020-01-06 00:00:00+00:00,138.33,139.71,138.15,139.69,11370199,119.1995293957,120.3886810661,119.0444226561,120.3714469839,11370199,0.0,1.0
2020-01-07 00:00:00+00:00,137.65,138.47,137.64,138.22,8456431,118.6135706016,119.3201679709,118.6049535605,119.1047419437,8456431,0.0,1.0
2020-01-08 00:00:00+00:00,136.74,138.31,136.32,137.93,10626391,117.8294198624,119.1822953135,117.4675041366,118.8548477521,10626391,0.0,1.0
2020-01-09 00:00:00+00:00,137.22,137.44,135.91,136.0,7412990,118.2430378347,118.4326127387,117.1142054519,117.1917588218,7412990,0.0,1.0
2020-01-10 00:00:00+00:00,138.44,138.47,137.63,137.67,8776937,119.2943168477,119.3201679709,118.5963365194,118.6308046838,8776937,0.0,1.0
2020-01-13 00:00:00+00:00,138.02,138.09,137.39,137.88,5965015,118.9324011219,118.9927204095,118.3895275332,118.8117625466,5965015,0.0,1.0
2020-01-14 00:00:00+00:00,138.73,138.82,138.14,138.18,13921031,119.5442110393,119.6217644091,119.035805615,119.0702737793,13921031,0.0,1.0
2020-01-15 00:00:00+00:00,139.65,139.76,139.02,139.52,6290520,120.3369788195,120.4317662715,119.7941052309,120.2249572854,6290520,0.0,1.0
2020-01-16 00:00:00+00:00,139.21,139.53,138.74,139.26,6798593,119.9578290116,120.2335743265,119.5528280804,120.000914217,6798593,0.0,1.0
2020-01-17 00:00:00+00:00,138.02,138.14,137.36,137.58,9693280,118.9324011219,119.035805615,118.36367641,118.5532513139,9693280,0.0,1.0
2020-01-21 00:00:00+00:00,139.47,139.65,138.77,138.81,6208953,120.1818720799,120.3369788195,119.5786792036,119.613147368,6208953,0.0,1.0
2020-01-22 00:00:00+00:00,139.96,140.14,139.59,139.72,6317029,120.6041070933,120.7592138329,120.285276573,120.3972981072,6317029,0.0,1.0
2020-01-23 00:00:00+00:00,140.94,141.38,140.78,140.85,9747418,121.4485771201,121.8277269281,121.3107044627,121.3710237503,9747418,0.0,1.0
2020-01-24 00:00:00+00:00,142.08,142.55,141.3,141.42,8584952,122.4309198044,122.8359207356,121.7587905994,121.8621950924,8584952,0.0,1.0
2020-01-27 00:00:00+00:00,144.29,144.29,143.5,143.95,10935243,124.3352858852,124.3352858852,123.6545396391,124.0423064882,10935243,0.0,1.0
2020-01-28 00:00:00+00:00,143.16,144.09,142.82,143.93,10612917,123.3615602421,124.1629450634,123.068580845,124.025072406,10612917,0.0,1.0
2020-01-29 00:00:00+00:00,144.56,144.7,143.43,143.44,9567654,124.5679459947,124.6885845699,123.5942203515,123.6028373926,9567654,0.0,1.0
