date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02 00:00:00+00:00,12.81,12.85,12.7,12.8,12508063,102.48,102.8,101.6,102.4,1563507,0.0,1.0
2020-01-03 00:00:00+00:00,13.18,13.3163,13.03,13.27,34600043,105.44,106.5304,104.24,106.16,4325005,0.0,1.0
2020-01-06 00:00:00+00:00,13.16,13.32,13.12,13.3,20786307,105.28,106.56,104.96,106.4,2598288,0.0,1.0
2020-01-07 00:00:00+00:00,13.13,13.18,13.01,13.09,13938313,105.04,105.44,104.08,104.72,1742289,0.0,1.0
2020-01-08 00:00:00+00:00,12.66,13.07,12.39,13.06,55311363,101.28,104.56,99.12,104.48,6913920,0.0,1.0
2020-01-09 00:00:00+00:00,12.49,12.54,12.29,12.45,27515630,99.92,100.32,98.32,99.6,3439453,0.0,1.0
2020-01-10 00:00:00+00:00,12.41,12.48,12.335,12.43,16133995,99.28,99.84,98.68,99.44,2016749,0.0,1.0
2020-01-13 00:00:00+00:00,12.2,12.31,12.16,12.31,22865070,97.6,98.48,97.28,98.48,2858133,0.0,1.0
2020-01-14 00:00:00+00:00,12.28,12.32,12.2,12.27,18692609,98.24,98.56,97.6,98.16,2336576,0.0,1.0
2020-01-15 00:00:00+00:00,12.18,12.22,12.05,12.2,15049858,97.44,97.76,96.4,97.6,1881232,0.0,1.0
2020-01-16 00:00:00+00:00,12.29,12.355,12.195,12.2,15675608,98.32,98.84,97.56,97.6,1959451,0.0,1.0
2020-01-17 00:00:00+00:00,12.33,12.37,12.24,12.33,17740192,98.64,98.96,97.92,98.64,2217524,0.0,1.0
2020-01-21 00:00:00+00:00,12.24,12.34,12.21,12.22,13626814,97.92,98.72,97.68,97.76,1703351,0.0,1.0
2020-01-22 00:00:00+00:00,11.9,12.04,11.875,12.03,25503372,95.2,96.32,95.0,96.24,3187921,0.0,1.0
2020-01-23 00:00:00+00:00,11.66,11.71,11.5,11.6,30855327,93.28,93.68,92.0,92.8,3856915,0.0,1.0
2020-01-24 00:00:00+00:00,11.43,11.5,11.31,11.49,24405961,91.44,92.0,90.48,91.92,3050745,0.0,1.0
2020-01-27 00:00:00+00:00,11.1,11.24,11.02,11.11,25127224,88.8,89.92,88.16,88.88,3140903,0.0,1.0
2020-01-28 00:00:00+00:00,11.25,11.32,11.1114,11.16,24252841,90.0,90.56,88.8912,89.28,3031605,0.0,1.0
